locus_tag,gene_name,old_locus_tag,start,end,strand,gene_product,COG,uniprot
ABUW_0001,dnaA,,95,1492,+,chromosomal replication initiator protein DnaA,"Replication, recombination and repair",
ABUW_0002,dnaN,,1590,2738,+,DNA polymerase III%2C beta subunit,"Replication, recombination and repair",
ABUW_0003,recF,,2753,3835,+,DNA replication%2C recombination and repair protein,"Replication, recombination and repair",
ABUW_0004,gyrB,,3888,6356,+,DNA gyrase%2C B subunit,"Replication, recombination and repair",
ABUW_0005,ABUW_0005,,6394,6786,+,cytochrome b562,Energy production and conversion,
ABUW_0006,ABUW_0006,,6870,7427,-,DedA family protein,Function unknown,
ABUW_0007,ABUW_0007,,7678,9609,-,ABC transporter%2C ATP-binding protein,Function unknown,
ABUW_0008,ABUW_0008,,9866,10870,+,RND type efflux pump,Carbohydrate transport and metabolism,
ABUW_0009,ABUW_0009,,11126,12133,+,RND type efflux pump,Carbohydrate transport and metabolism,
ABUW_0010,adeT,,12476,13480,+,RND type efflux pump,Carbohydrate transport and metabolism,
ABUW_0011,ABUW_0011,,13605,13940,+,iron-sulfur cluster assembly accessory protein,Energy production and conversion,
ABUW_0012,ABUW_0012,,13998,14843,-,epoxide hydrolase,Lipid transport and metabolism,
ABUW_0013,anmK,,14971,16098,-,anhydro-N-acetylmuramic acid kinase,Nucleotide transport and metabolism,
ABUW_0014,tyrS,,16160,17392,+,tyrosyl-tRNA synthetase,"Translation, ribosomal structure and biogenesis",
ABUW_0020,ABUW_0020,,23706,24305,+,glutathione S-transferase,"Post-translational modification, protein turnover,and chaperones",
ABUW_0021,ABUW_0021,,24363,25055,-,hypothetical protein,Cell wall/membrane/envelope biogenesis,
ABUW_0022,ABUW_0022,,25685,27163,+,sodium-and chloride-dependent transporter,Function unknown,
ABUW_0023,ABUW_0023,,27176,27319,+,hypothetical protein,Function unknown,
ABUW_0024,sun,,27363,28667,-,ribosomal RNA small subunit methyltransferase B,"Translation, ribosomal structure and biogenesis",
ABUW_0025,fmt,,28664,29626,-,methionyl-tRNA formyltransferase,"Translation, ribosomal structure and biogenesis",
ABUW_0026,ilvD,,29975,31804,+,dihydroxy-acid dehydratase,Amino acid transport and metabolism,
ABUW_0027,ABUW_0027,,32118,33407,+,hypothetical protein,No COG annotation,
ABUW_0028,ABUW_0028,,33507,34217,+,hypothetical protein,Function unknown,
ABUW_0029,ABUW_0029,,34226,35116,-,transcriptional regulator%2C LysR family,Transcription,
ABUW_0030,ABUW_0030,,35196,36491,-,uracil-xanthine permease,Nucleotide transport and metabolism,
ABUW_0031,ppc,,36792,39476,-,phosphoenolpyruvate carboxylase,Coenzyme transport and metabolism,
ABUW_0032,ABUW_0032,,39518,39634,-,hypothetical protein,No COG annotation,
ABUW_0033,ABUW_0033,,39647,40270,-,transcriptional regulator%2C TetR family,Transcription,
ABUW_0034,ABUW_0034,,40420,41520,+,secretion protein HlyD,Cell wall/membrane/envelope biogenesis,
ABUW_0035,ABUW_0035,,41523,44648,+,RND efflux transporter,Defense mechanisms,
ABUW_0036,ABUW_0036,,44788,45165,+,hypothetical protein,No COG annotation,
ABUW_0037,dnaJ,,45270,46382,+,chaperone protein DnaJ,"Post-translational modification, protein turnover,and chaperones",
ABUW_0038,ABUW_0038,,46497,46847,-,hypothetical protein,No COG annotation,
ABUW_0039,dapB,,47032,47853,+,dihydrodipicolinate reductase,Amino acid transport and metabolism,
ABUW_0040,ABUW_0040,,47905,48558,+,hypothetical protein,Function unknown,
ABUW_0041,ABUW_0041,,48599,49789,-,major facilitator family transporter,Amino acid transport and metabolism,
ABUW_0042,alrA,,49794,50597,-,aldo/keto reductase,Function unknown,
ABUW_0043,ABUW_0043,,50718,51620,+,transcriptional regulator%2C LysR family,Transcription,
ABUW_0044,ABUW_0044,,51604,51978,-,hypothetical protein,No COG annotation,
ABUW_0045,ABUW_0045,,52069,53493,+,transcriptional regulator%2C GntR family,Transcription,
ABUW_0046,ABUW_0046,,53496,54524,-,hypothetical protein,Function unknown,
ABUW_0047,tag,,54563,55123,-,DNA-3-methyladenine glycosylase 1,"Replication, recombination and repair",
ABUW_0048,ABUW_0048,,55154,55399,-,hypothetical protein,No COG annotation,
ABUW_0049,ABUW_0049,,55409,55945,-,peptidase,Cell wall/membrane/envelope biogenesis,
ABUW_0050,mutY,,55993,57027,-,A/G-specific adenine glycosylase,"Replication, recombination and repair",
ABUW_0051,ABUW_0051,,57168,57530,-,histidine triad protein,Nucleotide transport and metabolism,
ABUW_0052,ABUW_0052,,57715,58452,-,dienelactone hydrolase,"Secondary metabolites biosynthesis, transport, and catabolism",
ABUW_0053,ABUW_0053,,58624,58782,-,UPF0391 membrane protein,Function unknown,
ABUW_0054,ABUW_0054,,58977,59435,+,hypothetical protein,Function unknown,
ABUW_0055,ABUW_0055,,59548,60717,+,glucose sorbosone dehydrogenase,Carbohydrate transport and metabolism,
ABUW_0056,ABUW_0056,,60823,62088,+,ATPase%2C AAA family,"Replication, recombination and repair",
ABUW_0057,ABUW_0057,,62104,62943,-,formate/nitrite transporter family,Inorganic ion transport and metabolism,
ABUW_0058,ABUW_0058,,63229,63432,-,hypothetical protein,No COG annotation,
ABUW_0059,purC,,63622,64341,-,phosphoribosylaminoimidazole-succinocarboxamide synthase,Nucleotide transport and metabolism,
ABUW_0060,ABUW_0060,,64378,64983,-,hypothetical protein,Cell wall/membrane/envelope biogenesis,
ABUW_0061,dapA,,64996,65889,-,dihydrodipicolinate synthase,Amino acid transport and metabolism,
ABUW_0062,pncA,,66219,66863,+,nicotinamidase,"Secondary metabolites biosynthesis, transport, and catabolism",
ABUW_0063,ABUW_0063,,66918,67856,+,bile acid:sodium symporter,Function unknown,
ABUW_0064,ABUW_0064,,68034,69377,+,MATE family drug transporter,Defense mechanisms,
ABUW_0065,ABUW_0065,,69387,69860,-,hypothetical protein,Function unknown,
